Название улицы,Длина,Начальные координаты,Конечные координаты
,53.595,"(72.8046102, 40.5273136)","(72.8048033, 40.5268545)"
Шавкат Рахмон,13.092,"(72.8184679, 40.538919)","(72.8183488, 40.5388437)"
Шавкат Рахмон,76.824,"(72.8184679, 40.538919)","(72.8191663, 40.5393613)"
,150.32299999999998,"(72.8184679, 40.538919)","(72.8183048, 40.5402599)"
Шавкат Рахмон,23.436,"(72.8144093, 40.5368561)","(72.8141549, 40.5367722)"
,98.532,"(72.8144093, 40.5368561)","(72.81524, 40.5365814)"
Шавкат Рахмон,151.919,"(72.8144093, 40.5368561)","(72.8160368, 40.5374364)"
Мамырова улица,8.796,"(72.803375, 40.5164996)","(72.8032765, 40.5164741)"
Курманджан Датка,112.01,"(72.803375, 40.5164996)","(72.8041323, 40.515673)"
Курманджан Датка,51.401,"(72.803375, 40.5164996)","(72.8030324, 40.5168815)"
Ашхабатская улица,101.455,"(72.7972057, 40.5147622)","(72.7978786, 40.5140067)"
Абдуманап Мамыров улица,7.251,"(72.7972057, 40.5147622)","(72.7972725, 40.5148031)"
Абдуманап Мамыров улица,32.354,"(72.7972057, 40.5147622)","(72.7969324, 40.5145585)"
Абдуманап Мамыров улица,106.05,"(72.7844524, 40.5065316)","(72.7837452, 40.5057439)"
Абдуманап Мамыров улица,99.499,"(72.7844524, 40.5065316)","(72.7853926, 40.5070698)"
,52.688,"(72.7844524, 40.5065316)","(72.7839914, 40.5068391)"
Молдониязова улица,216.363,"(72.7996274, 40.5156571)","(72.7983309, 40.5173348)"
Абдуманап Мамыров улица,75.822,"(72.7996274, 40.5156571)","(72.8005073, 40.515789)"
Абдуманап Мамыров улица,119.365,"(72.7996274, 40.5156571)","(72.7982804, 40.5153628)"
Молдониязова улица,277.66999999999996,"(72.7996274, 40.5156571)","(72.80111, 40.5134388)"
Атабаева Т. улица,40.017,"(72.7951329, 40.5134437)","(72.7954362, 40.5131674)"
Абдуманап Мамыров улица,50.553,"(72.7951329, 40.5134437)","(72.7946117, 40.5132208)"
Абдуманап Мамыров улица,121.25999999999999,"(72.7951329, 40.5134437)","(72.7962918, 40.5140811)"
Жунусова улица,81.435,"(72.8110576, 40.5079046)","(72.8118618, 40.5083077)"
Жунусова улица,88.375,"(72.8110576, 40.5079046)","(72.8101949, 40.5074558)"
Курманджан Датка,126.766,"(72.8110576, 40.5079046)","(72.8119166, 40.5069702)"
Курманджан Датка,184.087,"(72.8110576, 40.5079046)","(72.8098435, 40.5092788)"
Толонова улица,52.974,"(72.8080613, 40.4868562)","(72.8081554, 40.4873272)"
Толонова улица,140.406,"(72.8080613, 40.4868562)","(72.8080645, 40.4855935)"
Королева улица,135.481,"(72.8080613, 40.4868562)","(72.8064629, 40.4869378)"
Алиева улица,70.587,"(72.8075788, 40.5060312)","(72.8079776, 40.5054735)"
Жунусова улица,193.552,"(72.8075788, 40.5060312)","(72.8094821, 40.5069985)"
Алиева Э. улица,86.561,"(72.8075788, 40.5060312)","(72.8070861, 40.5067136)"
Куренкеева улица,19.638,"(72.8133651, 40.4827199)","(72.8133669, 40.4828965)"
Юнусова улица,38.441,"(72.8133651, 40.4827199)","(72.8132007, 40.4823976)"
Юнусова улица,236.44299999999998,"(72.8133651, 40.4827199)","(72.8155727, 40.4839255)"
Ишматова улица,31.014,"(72.8090039, 40.4786885)","(72.8093522, 40.4786013)"
Ишматова улица,69.32,"(72.8090039, 40.4786885)","(72.8083597, 40.4790739)"
Бакыт улица,134.755,"(72.8090039, 40.4786885)","(72.8086827, 40.4775022)"
,39.294,"(72.8209701, 40.4877445)","(72.8212474, 40.4874805)"
Рашида Юнусова,77.685,"(72.8209701, 40.4877445)","(72.8212958, 40.4883952)"
Рашид Юнусов,341.76099999999997,"(72.8209701, 40.4877445)","(72.8183941, 40.4854112)"
Саргалчаева улица,289.90000000000003,"(72.8209701, 40.4877445)","(72.8188427, 40.4897296)"
,597.36,"(72.7432231, 40.499651)","(72.7497565, 40.5016632)"
Бешкапа улица,166.57000000000002,"(72.7710237, 40.5487609)","(72.7726303, 40.5496174)"
,111.58699999999999,"(72.7710237, 40.5487609)","(72.7697121, 40.5487064)"
Турсунбай Абдуллаева улица,240.294,"(72.7710237, 40.5487609)","(72.7725029, 40.5469859)"
Турсунбай Абдуллаева улица,172.94400000000002,"(72.7710237, 40.5487609)","(72.7698908, 40.5500548)"
Абсамат Масалиева проспект,89.518,"(72.8107588, 40.5179943)","(72.8112908, 40.5172982)"
Жумабаева улица,18.618000000000002,"(72.8107588, 40.5179943)","(72.8109548, 40.5180698)"
Амира Темира улица,140.589,"(72.7877125, 40.527556)","(72.7880076, 40.5263135)"
Гапара Айтиева улица,125.252,"(72.7877125, 40.527556)","(72.7863374, 40.527142)"
Гапара Айтиева улица,105.857,"(72.7877125, 40.527556)","(72.7889014, 40.5278554)"
Жумабаева улица,80.103,"(72.8175474, 40.519947)","(72.8166382, 40.5197439)"
